temp,feelslike,feelslike,feelslike,feelslike,windspeed
6.8,4.4,5.4,6.4,7.4,26
5.3,3.9,4.9,5.9,6.9,21.3
3.9,1.7,2.7,3.7,4.7,17.8
3.3,2.9,3.9,4.9,5.9,10
3.2,0.3,1.3,2.3,3.3,26.8
2.7,0.3,1.3,2.3,3.3,18.2
2.6,-1.1,-0.1,0.9,1.9,24.9
0.8,-3,-2,-1,0,16.6
-0.7,-3.4,-2.4,-1.4,-0.4,13.9
-1.8,-2.9,-1.9,-0.9,0.1,10.5
-1.1,-4,-3,-2,-1,12.2
-0.7,-4.6,-3.6,-2.6,-1.6,16.4
3.5,0.5,1.5,2.5,3.5,22.1
6.5,4.1,5.1,6.1,7.1,23.4
4.7,1.1,2.1,3.1,4.1,32.7
1.6,-2.1,-1.1,-0.1,0.9,21.4
1.7,-1.9,-0.9,0.1,1.1,17.4
1.5,-1.8,-0.8,0.2,1.2,18.3
4.9,3.5,4.5,5.5,6.5,23.3
1.9,-1.7,-0.7,0.3,1.3,25.9
6.4,3.3,4.3,5.3,6.3,25
2.5,-0.9,0.1,1.1,2.1,19.5
-1.7,-5.3,-4.3,-3.3,-2.3,18.4
2,0,1,2,3,15.5
3.5,0.5,1.5,2.5,3.5,26.5
6.6,3.8,4.8,5.8,6.8,29.1
1.5,-2.6,-1.6,-0.6,0.4,20.6
-3.1,-6.1,-5.1,-4.1,-3.1,19.8
-2.4,-3.6,-2.6,-1.6,-0.6,12.9
1.2,-2.2,-1.2,-0.2,0.8,22.9
5.1,1.2,2.2,3.2,4.2,30.4
0.3,-4.4,-3.4,-2.4,-1.4,22.4
-0.4,-5.1,-4.1,-3.1,-2.1,25.9
1.3,-0.7,0.3,1.3,2.3,13.9
2.2,-1.1,-0.1,0.9,1.9,33.4
2.1,-2.7,-1.7,-0.7,0.3,33.6
2,-0.6,0.4,1.4,2.4,16.5
-4.1,-8.9,-7.9,-6.9,-5.9,21.7
-1.7,-3.5,-2.5,-1.5,-0.5,12.8
0.4,-2.8,-1.8,-0.8,0.2,16.1
-1.7,-6.1,-5.1,-4.1,-3.1,20
-3.4,-8.6,-7.6,-6.6,-5.6,20
-3.1,-7.3,-6.3,-5.3,-4.3,16.8
-2.1,-5.9,-4.9,-3.9,-2.9,14.6
-3.8,-9.2,-8.2,-7.2,-6.2,21.1
-6.4,-12.7,-11.7,-10.7,-9.7,22.7
-9.6,-15.3,-14.3,-13.3,-12.3,19.8
-7.3,-11.3,-10.3,-9.3,-8.3,18
-2.9,-6.9,-5.9,-4.9,-3.9,14.1
-4.6,-8,-7,-6,-5,21.4
-4.6,-7.2,-6.2,-5.2,-4.2,15.6
0.9,-1.6,-0.6,0.4,1.4,23.3
5.8,2.2,3.2,4.2,5.2,41.2
9.3,7.7,8.7,9.7,10.7,25
12,11.1,12.1,13.1,14.1,28.6
6,3.7,4.7,5.7,6.7,20.6
4.8,1.8,2.8,3.8,4.8,19.4
10.3,9.8,10.8,11.8,12.8,13.4
15.9,15.9,16.9,17.9,18.9,25.7
7.1,4.5,5.5,6.5,7.5,24.6
3.4,1.7,2.7,3.7,4.7,14.9
8.1,7.6,8.6,9.6,10.6,20.6
8.8,7.7,8.7,9.7,10.7,20.7
3.6,0.9,1.9,2.9,3.9,17.4
5.3,4.1,5.1,6.1,7.1,18.3
6.2,5.5,6.5,7.5,8.5,12.1
9.4,9.3,10.3,11.3,12.3,21.2
12.5,12.4,13.4,14.4,15.4,25.8
17.2,17.2,18.2,19.2,20.2,37.7
18.1,18.1,19.1,20.1,21.1,31.6
13.6,13.4,14.4,15.4,16.4,20.4
11.4,10.8,11.8,12.8,13.8,19.7
7.6,6.7,7.7,8.7,9.7,14
6.8,3.5,4.5,5.5,6.5,28.7
11.6,11.5,12.5,13.5,14.5,17.5
12.1,11.8,12.8,13.8,14.8,28.2
14.8,14.1,15.1,16.1,17.1,30.6
7.6,4.6,5.6,6.6,7.6,32.8
8.6,7.4,8.4,9.4,10.4,12.9
11.3,11.2,12.2,13.2,14.2,10.3
14.2,14.2,15.2,16.2,17.2,17.3
15.5,15.5,16.5,17.5,18.5,26.1
19.1,19.1,20.1,21.1,22.1,30.4
15.7,15.7,16.7,17.7,18.7,28.7
14.8,14.8,15.8,16.8,17.8,36.5
14.3,14.2,15.2,16.2,17.2,24.4
13,12.7,13.7,14.7,15.7,37
9.2,9,10,11,12,20.4
15.7,15.3,16.3,17.3,18.3,37.2
11,9.8,10.8,11.8,12.8,28.2
3.6,-0.2,0.8,1.8,2.8,23.5
